address;SOY wei;SOY ether
0xadd76b630b64d639501e8b9439e57525131d3d10;14022601322638103335336;14022.601322638103335336
0x9b97fb8ad6515fe1ef2ca1a5cad6865f09c50870;34146830181009077763;34.146830181009077763
0x6de345cd3f17058610c27776f68e0429b9a17642;792676363788405289430149;792676.363788405289430149
0x6aae3e295e2d77b6a3b103ebb277772524cdb9cb;406455727779753630724647;406455.727779753630724647
0xe0f1a6494ee81864a2bb84e31d7f252342b90476;210445480132572283547;210.445480132572283547
0xc894406de100a861d46c1bdd457ecb9bcf40ccf3;1595100008645157101513023;1595100.008645157101513023
0xf8538fb6b848ddd78c524ed7e498ac43bfe895e2;429580014897062665654;429.580014897062665654
0xfe85428fb7145bf17f7fbf7317be091943cb70d5;555197490333053296563218;555197.490333053296563218
0xcfeacab29a7a4782b851f5f11b4c1fdbd69ac49b;797120898450408559082;797.120898450408559082
0x8a1298524a12b529ee43d39922dfc765ea2b4558;294971579976945167744250;294971.57997694516774425
0x5ab42f97c39f410d80b21285bc02e834b6110afb;48972233234657573883695;48972.233234657573883695
0x7c2da0be93cf8f576f654c10e57a59000ea7de7a;6866925897697687901560;6866.92589769768790156
0x59032f53b72c7dc75186bd421f4dd418cc90aebf;100707723752610290598752;100707.723752610290598752
0xc5522ee944af85e8b2213a84e4c9956f9f818d68;609436971290064974485478;609436.971290064974485478
0xc238a9cc4e2490160365cf7f67a963095f06131d;68837325591153210404709;68837.325591153210404709
0x121b12f9e80a0c47d7b100dc06343fcbbab91f66;27575948723261202487104;27575.948723261202487104
0xf4b22bfef0f90c57e9b49f7c13d27815f78d1ba6;137024812439820179627042;137024.812439820179627042
0x68bf06bd7a4449263824c1e70a067366756c264b;3154796235247978976150;3154.79623524797897615
0x88611801c3b2e5150205ba68de08591bb88e8f72;1987036798233656655227136;1987036.798233656655227136
0x93843c248a882d8c24db4e9786eb1c68f0a2ff02;478836208691721077854;478.836208691721077854
0x47aa62521c9982fef7583b7728c1e79b633c3615;169645698225062024251;169.645698225062024251
0x5c9ca1314e8c59b414c336784bb6b54517c202d2;44794840085821068213280;44794.84008582106821328
0xede871d54d0e87f2232605c8b299da59a7eadefa;49998834487872058883;49.998834487872058883
0x02a66d4afb6625ff56d52a6bdd2ec5eb4abfa32c;73661546491024464839664;73661.546491024464839664
0xd7336f32ed5570a259ddc2f45ba7b728af7305b5;277668615699980609028075;277668.615699980609028075
0x66510072e9a1db78dffa67bfaeb38b33f4538917;32640493460854343551571;32640.493460854343551571
0x08171405ae98589266dfbc14ec673bffcb9f3af3;22465962610006788817091;22465.962610006788817091
0x27847e3816b3fb248743489a7eb28816df55b379;35907181053546653808680;35907.18105354665380868
0x717a837fe9e3201dab2fb3644bb70955e7f5e470;4388283023087598701440344;4388283.023087598701440344
0xa1fe9b099abf7cb0fab817df4280ea68c4f0f853;5008794129894682669518;5008.794129894682669518
0xa7640ecbbf07246d2ab6ea4d0f98f4702c5cbddd;1022602552890270349090900;1022602.5528902703490909
0x02673b24f9cd00c1cf5eedb4bd91d05d0601120d;182088056354214365120138;182088.056354214365120138
0xbdc34c4c04c6646234f9fa63f2bdd38bb047e2d5;660517024037327641295145;660517.024037327641295145
0x51bcac5ee7ae4bf5ffb409ae233222c9c00c0091;3968378239195476647971594;3968378.239195476647971594
0x903c3d15a88befc4ddf4877edc9279e368059581;498013276432731626887835;498013.276432731626887835
0x80d1277b0d2fe4388a9e762655f713f546f60841;53587881078982558021709;53587.881078982558021709
0x0257f86e1ec4a7a9eddc433ebae062f06ec650e1;35858877952613168739936;35858.877952613168739936
0x735c11b1a57b7ab1b9a0ba409820b3005f09a7ac;578673929329414954896261;578673.929329414954896261
0xc47bc6ba321f39c6d634a3793093793db2f3e27a;400934216723487100748720;400934.21672348710074872
0xf970b7abed5dcad0533eca4240220e5e53240cd7;107887989636504571555512;107887.989636504571555512
0x886799b2bc31e67a318457201dc367eec91cb7ec;7894923716047939781112;7894.923716047939781112
0x3a547f26cdedf725cfc82cc5d5dfd006b4accca7;840088869646833676431136;840088.869646833676431136
0xb463f841388bacb96293037dda3b1e0dcad968c5;4594559193745152702450;4594.55919374515270245
0xfc2e3cc324f9b1fe8eb4a576ce714dafcc1dd0ae;685077788236821045311834;685077.788236821045311834
0x39470f6f2811480db59363072554c3e6ebcb90e0;2486696030952409684107;2486.696030952409684107
0x87d4dd3f3425a3e52c2e6729485cadd47b49f41e;2423847918888316041073623;2423847.918888316041073623
0xce4941890bae3080f2fc2808ca1b96f06c2b8c60;36098165036467440890024;36098.165036467440890024
0x73e80aa4892426d63c1d0243ac802e0fb4944ec5;49966915628563473953461;49966.915628563473953461
0x893ada4a50ed1c939bb7b4ba0f275d1b38942317;2112543100827683558379384;2112543.100827683558379384
0x2d850d18b0617077585f1d0cba043168dc90954d;1558148604975230721369301;1558148.604975230721369301
0xe2d8c59a40b9ae26ae4731e015b494b90ce04114;4508565843728725719694318;4508565.843728725719694318
0x276762f8a4c41015f07910c22f8da09639144ae3;104970874003372483402267;104970.874003372483402267
0x0ba4530c1d53f0f539715044feb55a0ab0a10955;431151952477143671688377;431151.952477143671688377
0xa9a530742c8245b797edb43e8a92ea8948664abd;281751917745823661259973;281751.917745823661259973
0x4a40c7dd1297d86f490782a94106edda545de757;1716367751894076847590;1716.36775189407684759
0xb44df2df499c897cb32cf09dd5e0e3608db7767b;1729088673815892857944852;1729088.673815892857944852
0xeefa41fe64f28526123a92afe87827b6f6f4c2a6;2173800000000000000000;2173.8
0x5f1518c1c95bd8855679ed4d0b2bda66826f2e70;63080605477028616086810;63080.60547702861608681
0x3c1b47faedd14317de98e57d27c9ac36c4b7c498;553556974831901763416560;553556.97483190176341656
0x6860ab5c250118639f12c023a4b2b3083012f1cd;4061283955388025959500;4061.2839553880259595
0x33ccf534d89a23b1c024e4658589ab0633c9a000;48574798930514124098;48.574798930514124098
0x3f7ca6a38d68df60ceeab88584c335f0bb873769;38370960221541927240934;38370.960221541927240934
0x1ddb94f9b6e4e2f8044507f18cf0f58a1c257c9d;224363389343222156031846;224363.389343222156031846
